Order_ID,Order_Date,Category,City,Price,Quantity,Revenue,Year,Month,Day,Weekday,Product
1,2025-12-28,Clothing,Delhi,1925,6,11550,2025,12,28,Sunday,Camera
2,2025-03-30,Sports,Bangalore,4956,2,9912,2025,3,30,Sunday,Camera
3,2025-11-18,Clothing,Bangalore,2852,6,17112,2025,11,18,Tuesday,TV
4,2026-04-25,Sports,Hyderabad,4696,9,42264,2026,4,25,Saturday,Camera
5,2026-05-10,Electronics,Bangalore,2063,1,2063,2026,5,10,Sunday,Watch
6,2025-03-12,Furniture,Hyderabad,4837,3,14511,2025,3,12,Wednesday,Watch
7,2026-04-04,Sports,Bangalore,2806,4,11224,2026,4,4,Saturday,Keyboard
8,2024-07-13,Sports,Delhi,558,6,3348,2024,7,13,Saturday,Watch
9,2025-09-26,Groceries,Mumbai,4723,9,42507,2025,9,26,Friday,Phone
10,2026-01-16,Sports,Hyderabad,2784,8,22272,2026,1,16,Friday,Keyboard
11,2025-10-28,Groceries,Delhi,149,8,1192,2025,10,28,Tuesday,Bag
12,2024-07-31,Electronics,Mumbai,283,6,1698,2024,7,31,Wednesday,Watch
13,2026-03-23,Clothing,Mumbai,675,2,1350,2026,3,23,Monday,Headphones
14,2025-10-22,Electronics,Hyderabad,3512,6,21072,2025,10,22,Wednesday,Tablet
15,2025-08-06,Furniture,Bangalore,1432,9,12888,2025,8,6,Wednesday,TV
16,2026-03-05,Furniture,Chennai,713,9,6417,2026,3,5,Thursday,Bag
17,2024-11-12,Electronics,Chennai,3498,10,34980,2024,11,12,Tuesday,Bag
18,2024-10-03,Clothing,Chennai,4845,7,33915,2024,10,3,Thursday,Bag
19,2025-07-02,Clothing,Hyderabad,2243,7,15701,2025,7,2,Wednesday,Headphones
20,2024-07-20,Clothing,Chennai,4045,6,24270,2024,7,20,Saturday,Bag
21,2026-06-12,Clothing,Bangalore,1887,4,7548,2026,6,12,Friday,Watch
22,2025-07-03,Clothing,Mumbai,897,10,8970,2025,7,3,Thursday,Watch
23,2024-10-24,Furniture,Delhi,167,2,334,2024,10,24,Thursday,Tablet
24,2026-04-08,Sports,Hyderabad,550,7,3850,2026,4,8,Wednesday,Laptop
25,2025-07-06,Furniture,Chennai,1424,4,5696,2025,7,6,Sunday,Phone
26,2026-02-13,Furniture,Chennai,4998,2,9996,2026,2,13,Friday,TV
27,2024-07-26,Furniture,Delhi,4662,2,9324,2024,7,26,Friday,Watch
28,2025-02-07,Clothing,Hyderabad,1679,6,10074,2025,2,7,Friday,Tablet
29,2025-08-18,Furniture,Bangalore,1486,8,11888,2025,8,18,Monday,Shoes
30,2025-11-20,Groceries,Delhi,289,7,2023,2025,11,20,Thursday,Headphones
31,2026-01-10,Furniture,Chennai,3698,6,22188,2026,1,10,Saturday,Camera
32,2024-08-21,Sports,Hyderabad,1345,8,10760,2024,8,21,Wednesday,Bag
33,2025-01-13,Electronics,Hyderabad,4132,4,16528,2025,1,13,Monday,TV
