Order_ID,Order_Date,Category,City,Price,Quantity,Revenue
1,2025-12-28,Clothing,Delhi,1925,6,11550
2,2025-03-30,Sports,Bangalore,4956,2,9912
3,2025-11-18,Clothing,Bangalore,2852,6,17112
4,2026-04-25,Sports,Hyderabad,4696,9,42264
5,2026-05-10,Electronics,Bangalore,2063,1,2063
6,2025-03-12,Furniture,Hyderabad,4837,3,14511
7,2026-04-04,Sports,Bangalore,2806,4,11224
8,2024-07-13,Sports,Delhi,558,6,3348
9,2025-09-26,Groceries,Mumbai,4723,9,42507
10,2026-01-16,Sports,Hyderabad,2784,8,22272
11,2025-10-28,Groceries,Delhi,149,8,1192
12,2024-07-31,Electronics,Mumbai,283,6,1698
13,2026-03-23,Clothing,Mumbai,675,2,1350
14,2025-10-22,Electronics,Hyderabad,3512,6,21072
15,2025-08-06,Furniture,Bangalore,1432,9,12888
16,2026-03-05,Furniture,Chennai,713,9,6417
17,2024-11-12,Electronics,Chennai,3498,10,34980
18,2024-10-03,Clothing,Chennai,4845,7,33915
19,2025-07-02,Clothing,Hyderabad,2243,7,15701
20,2024-07-20,Clothing,Chennai,4045,6,24270
21,2026-06-12,Clothing,Bangalore,1887,4,7548
22,2025-07-03,Clothing,Mumbai,897,10,8970
23,2024-10-24,Furniture,Delhi,167,2,334
24,2026-04-08,Sports,Hyderabad,550,7,3850
25,2025-07-06,Furniture,Chennai,1424,4,5696
26,2026-02-13,Furniture,Chennai,4998,2,9996
27,2024-07-26,Furniture,Delhi,4662,2,9324
28,2025-02-07,Clothing,Hyderabad,1679,6,10074
29,2025-08-18,Furniture,Bangalore,1486,8,11888
30,2025-11-20,Groceries,Delhi,289,7,2023
31,2026-01-10,Furniture,Chennai,3698,6,22188
32,2024-08-21,Sports,Hyderabad,1345,8,10760
33,2025-01-13,Electronics,Hyderabad,4132,4,16528
34,2024-07-26,Electronics,Mumbai,2560,2,5120
35,2025-12-26,Clothing,Chennai,1547,4,6188
36,2024-08-21,Groceries,Hyderabad,1299,6,7794
37,2026-06-21,Sports,Chennai,2343,1,2343
38,2026-06-21,Furniture,Chennai,2904,7,20328
39,2024-08-14,Furniture,Hyderabad,2094,5,10470
40,2024-09-26,Sports,Chennai,1644,8,13152
41,2024-09-15,Sports,Mumbai,590,2,1180
42,2025-11-15,Sports,Delhi,2050,1,2050
43,2025-12-08,Electronics,Bangalore,289,10,2890
44,2025-02-08,Clothing,Chennai,2512,5,12560
45,2025-02-24,Sports,Bangalore,2896,7,20272
46,2025-10-13,Furniture,Chennai,4233,8,33864
47,2024-08-13,Sports,Hyderabad,3940,3,11820
48,2025-05-20,Groceries,Bangalore,3824,7,26768
49,2025-07-11,Groceries,Mumbai,2503,6,15018
50,2025-11-14,Sports,Delhi,479,8,3832
51,2025-09-21,Groceries,Delhi,1926,8,15408
52,2025-06-21,Sports,Hyderabad,3780,7,26460
53,2025-01-22,Groceries,Delhi,2265,5,11325
54,2024-11-03,Furniture,Bangalore,4794,8,38352
55,2025-12-28,Electronics,Mumbai,4071,6,24426
56,2025-06-08,Electronics,Bangalore,1534,3,4602
57,2025-01-14,Furniture,Bangalore,4437,1,4437
58,2024-07-21,Groceries,Chennai,2649,8,21192
59,2026-02-27,Furniture,Mumbai,4968,10,49680
60,2025-03-10,Groceries,Hyderabad,4895,10,48950
61,2024-06-28,Sports,Bangalore,2022,4,8088
62,2024-12-11,Electronics,Delhi,3457,10,34570
63,2024-10-04,Electronics,Chennai,2651,1,2651
64,2024-12-08,Electronics,Bangalore,1861,2,3722
65,2026-03-03,Electronics,Mumbai,4447,3,13341
66,2025-06-12,Furniture,Chennai,137,9,1233
67,2024-08-15,Furniture,Hyderabad,4786,6,28716
68,2025-06-25,Groceries,Bangalore,4871,9,43839
69,2025-12-27,Sports,Mumbai,103,8,824
70,2026-04-06,Electronics,Bangalore,2825,1,2825
71,2025-04-26,Furniture,Mumbai,4434,4,17736
72,2025-08-17,Furniture,Mumbai,4611,10,46110
73,2025-09-05,Sports,Delhi,417,3,1251
74,2025-03-21,Electronics,Mumbai,3179,8,25432
75,2024-12-22,Groceries,Chennai,2615,5,13075
76,2026-06-26,Groceries,Mumbai,3992,4,15968
77,2026-06-16,Sports,Chennai,1837,10,18370
78,2024-09-05,Sports,Chennai,2776,10,27760
79,2024-08-29,Electronics,Chennai,2642,3,7926
80,2025-03-27,Groceries,Mumbai,2838,1,2838
81,2025-11-16,Clothing,Hyderabad,1136,3,3408
82,2024-08-18,Sports,Delhi,4779,3,14337
83,2024-08-16,Sports,Bangalore,2557,10,25570
84,2026-05-17,Sports,Mumbai,347,4,1388
85,2025-04-28,Groceries,Hyderabad,772,4,3088
86,2024-08-05,Sports,Bangalore,1433,6,8598
87,2024-09-04,Sports,Chennai,2976,8,23808
88,2024-12-10,Clothing,Mumbai,2058,6,12348
89,2024-10-27,Groceries,Hyderabad,2381,1,2381
90,2026-03-14,Furniture,Hyderabad,3153,2,6306
91,2025-05-16,Sports,Bangalore,712,10,7120
92,2024-09-26,Electronics,Delhi,3793,3,11379
93,2025-12-17,Sports,Hyderabad,3963,3,11889
94,2024-12-06,Clothing,Delhi,3525,7,24675
95,2025-04-04,Electronics,Mumbai,1534,10,15340
96,2024-12-11,Furniture,Bangalore,510,7,3570
97,2025-01-22,Furniture,Mumbai,3555,10,35550
98,2026-06-28,Sports,Hyderabad,2052,6,12312
99,2025-03-07,Furniture,Delhi,1588,2,3176
100,2024-10-15,Groceries,Delhi,4723,7,33061
101,2025-06-07,Furniture,Delhi,1693,5,8465
102,2025-02-02,Groceries,Delhi,3711,8,29688
103,2026-06-06,Sports,Chennai,455,7,3185
104,2024-07-11,Electronics,Bangalore,696,8,5568
105,2026-05-23,Furniture,Chennai,1046,3,3138
106,2025-10-01,Electronics,Delhi,4260,1,4260
107,2025-12-17,Groceries,Bangalore,2891,5,14455
108,2026-04-27,Groceries,Mumbai,4508,2,9016
109,2024-08-02,Furniture,Chennai,2502,3,7506
110,2026-01-06,Groceries,Chennai,4558,9,41022
111,2025-01-14,Clothing,Mumbai,2735,9,24615
112,2025-04-09,Furniture,Hyderabad,3356,6,20136
113,2026-02-15,Furniture,Chennai,1225,9,11025
114,2026-06-20,Groceries,Hyderabad,1441,5,7205
115,2025-06-04,Furniture,Mumbai,142,2,284
116,2026-05-20,Groceries,Bangalore,3069,8,24552
117,2024-07-09,Electronics,Bangalore,321,2,642
118,2025-09-29,Groceries,Delhi,4147,10,41470
119,2026-01-26,Clothing,Chennai,2965,6,17790
120,2024-11-30,Sports,Bangalore,1665,5,8325
121,2024-10-16,Sports,Mumbai,2688,7,18816
122,2026-04-20,Groceries,Delhi,361,2,722
123,2024-12-29,Clothing,Hyderabad,3992,10,39920
124,2026-06-24,Groceries,Bangalore,1748,7,12236
125,2025-09-23,Clothing,Hyderabad,1253,9,11277
126,2026-06-24,Clothing,Delhi,2658,7,18606
127,2026-03-25,Furniture,Chennai,726,5,3630
128,2026-04-18,Groceries,Chennai,1258,9,11322
129,2025-09-05,Sports,Hyderabad,2864,4,11456
130,2024-12-30,Sports,Chennai,4692,2,9384
131,2025-04-22,Furniture,Bangalore,331,10,3310
132,2025-02-24,Clothing,Bangalore,2464,3,7392
133,2025-08-19,Furniture,Hyderabad,4393,8,35144
134,2024-09-29,Clothing,Mumbai,890,8,7120
135,2025-01-24,Electronics,Hyderabad,1701,4,6804
136,2025-10-24,Sports,Chennai,626,4,2504
137,2025-02-06,Groceries,Mumbai,3363,6,20178
138,2026-04-10,Furniture,Chennai,1889,7,13223
139,2025-09-08,Clothing,Mumbai,1291,10,12910
140,2025-02-11,Sports,Chennai,3508,1,3508
141,2024-11-27,Sports,Mumbai,2952,6,17712
142,2025-02-23,Groceries,Bangalore,3930,3,11790
143,2026-05-21,Furniture,Bangalore,4243,1,4243
144,2025-10-31,Sports,Bangalore,2445,10,24450
145,2024-08-17,Clothing,Delhi,3626,8,29008
146,2025-03-03,Electronics,Mumbai,2581,2,5162
147,2026-05-22,Electronics,Mumbai,236,10,2360
148,2025-02-18,Sports,Hyderabad,1532,1,1532
149,2026-01-18,Electronics,Mumbai,4334,1,4334
150,2025-03-06,Sports,Mumbai,1324,9,11916
151,2025-08-02,Sports,Mumbai,955,10,9550
152,2026-05-02,Groceries,Chennai,1834,2,3668
153,2026-02-28,Furniture,Chennai,5000,9,45000
154,2025-12-05,Furniture,Delhi,4980,6,29880
155,2025-01-21,Electronics,Mumbai,4088,6,24528
156,2026-02-01,Groceries,Delhi,3864,6,23184
157,2025-03-16,Electronics,Mumbai,1730,7,12110
158,2024-11-12,Sports,Delhi,3042,3,9126
159,2025-06-23,Electronics,Mumbai,3502,3,10506
160,2026-01-08,Groceries,Delhi,843,4,3372
161,2026-02-19,Furniture,Delhi,2315,4,9260
162,2025-03-02,Sports,Bangalore,2097,5,10485
163,2024-11-24,Electronics,Hyderabad,736,9,6624
164,2026-04-29,Electronics,Mumbai,3741,9,33669
165,2024-08-23,Furniture,Hyderabad,487,4,1948
166,2025-07-13,Furniture,Hyderabad,4728,9,42552
167,2025-02-17,Clothing,Bangalore,3228,7,22596
168,2025-10-05,Clothing,Mumbai,3482,4,13928
169,2025-03-23,Groceries,Hyderabad,1213,3,3639
170,2025-06-15,Electronics,Hyderabad,2687,6,16122
171,2025-05-09,Electronics,Mumbai,369,1,369
172,2025-06-07,Groceries,Bangalore,1741,5,8705
173,2025-07-05,Sports,Hyderabad,4299,3,12897
174,2025-03-21,Groceries,Mumbai,429,1,429
175,2025-12-12,Groceries,Delhi,1571,2,3142
176,2025-09-29,Groceries,Mumbai,4974,1,4974
177,2025-03-23,Electronics,Hyderabad,4612,5,23060
178,2024-10-06,Clothing,Mumbai,1025,7,7175
179,2025-06-09,Furniture,Mumbai,983,7,6881
180,2024-08-27,Sports,Bangalore,1589,4,6356
181,2024-11-20,Groceries,Chennai,1597,1,1597
182,2025-03-18,Sports,Bangalore,1958,6,11748
183,2025-08-13,Groceries,Hyderabad,3572,5,17860
184,2025-01-05,Sports,Chennai,4470,1,4470
185,2024-09-10,Electronics,Hyderabad,600,10,6000
186,2025-07-30,Groceries,Bangalore,2219,9,19971
187,2025-12-22,Furniture,Bangalore,1566,6,9396
188,2025-08-17,Groceries,Hyderabad,3814,7,26698
189,2025-01-10,Electronics,Chennai,4725,10,47250
190,2025-04-25,Furniture,Chennai,1999,4,7996
191,2026-05-18,Groceries,Chennai,2246,4,8984
192,2025-08-06,Groceries,Hyderabad,2440,1,2440
193,2024-11-15,Sports,Hyderabad,1543,6,9258
194,2024-07-09,Furniture,Delhi,2345,1,2345
195,2026-02-01,Electronics,Bangalore,2761,8,22088
196,2026-02-09,Electronics,Delhi,712,1,712
197,2026-01-05,Electronics,Bangalore,2303,6,13818
198,2025-03-07,Sports,Hyderabad,4634,3,13902
199,2025-04-23,Sports,Mumbai,3306,7,23142
200,2026-01-29,Electronics,Hyderabad,490,3,1470
201,2025-09-09,Electronics,Chennai,2784,8,22272
202,2025-06-07,Groceries,Mumbai,651,3,1953
203,2025-05-08,Sports,Delhi,794,9,7146
204,2025-09-10,Furniture,Bangalore,4448,2,8896
205,2025-10-18,Electronics,Chennai,247,9,2223
206,2024-11-05,Electronics,Bangalore,817,6,4902
207,2024-06-28,Furniture,Mumbai,381,5,1905
208,2025-02-05,Furniture,Bangalore,109,2,218
209,2025-09-10,Sports,Bangalore,1951,7,13657
210,2025-12-17,Sports,Bangalore,3364,9,30276
211,2026-02-27,Electronics,Chennai,1578,9,14202
212,2026-04-09,Furniture,Chennai,1797,7,12579
213,2024-07-28,Furniture,Hyderabad,2943,1,2943
214,2026-03-24,Groceries,Bangalore,3309,5,16545
